cell,truth,T,sigma,rep,module,rmse_h1,rmse_h5,persist_h1,persist_h5,retained
D6_timevarying_r,,33,11.8,22,M1b_autonomous_Allee,15.391551394916908,17.50251886680945,13.949883428375474,20.036639072710404,False
D6_timevarying_r,,33,11.8,22,M2_stockflow_regimeC,78.17279064733023,153.42953834600863,13.949883428375474,20.036639072710404,False
D6_timevarying_r,,33,11.8,22,M3_AR_residual,29.07325109655906,104.45269401165305,13.949883428375474,20.036639072710404,False
D6_timevarying_r,,33,11.8,22,M4_delayed_info,36.26678197446823,115.69676998359836,13.949883428375474,20.036639072710404,False
D6_timevarying_r,,33,11.8,23,M1_autonomous_Schaefer,13.9821977691759,14.477347073157393,16.871537974559942,22.47570174152851,True
D6_timevarying_r,,33,11.8,23,M1b_autonomous_Allee,13.499734116543367,18.928898209637207,16.871537974559942,22.47570174152851,False
D6_timevarying_r,,33,11.8,23,M2_stockflow_regimeC,78.68841452102457,173.84500789482348,16.871537974559942,22.47570174152851,False
D6_timevarying_r,,33,11.8,23,M3_AR_residual,29.56144105836061,117.67144454472526,16.871537974559942,22.47570174152851,False
D6_timevarying_r,,33,11.8,23,M4_delayed_info,35.7390904324738,128.09502743782707,16.871537974559942,22.47570174152851,False
D6_timevarying_r,,33,11.8,24,M1_autonomous_Schaefer,15.643394260229272,13.51652887832793,18.118191965135377,18.82302820631246,True
D6_timevarying_r,,33,11.8,24,M1b_autonomous_Allee,15.801153430668501,21.93722376272148,18.118191965135377,18.82302820631246,False
D6_timevarying_r,,33,11.8,24,M2_stockflow_regimeC,77.17697104205179,72.83819634620451,18.118191965135377,18.82302820631246,False
D6_timevarying_r,,33,11.8,24,M3_AR_residual,25.45470724765322,51.20858172964183,18.118191965135377,18.82302820631246,False
D6_timevarying_r,,33,11.8,24,M4_delayed_info,26.614429851494272,53.09506372855455,18.118191965135377,18.82302820631246,False
D6_timevarying_r,,33,11.8,25,M1_autonomous_Schaefer,12.240735051544393,12.839694849001352,14.947135732969558,16.09678951926922,True
D6_timevarying_r,,33,11.8,25,M1b_autonomous_Allee,13.69875541716591,18.502424632701672,14.947135732969558,16.09678951926922,False
D6_timevarying_r,,33,11.8,25,M2_stockflow_regimeC,78.02885788982982,438.5646976230283,14.947135732969558,16.09678951926922,False
D6_timevarying_r,,33,11.8,25,M3_AR_residual,31.285709861641926,246.55719149463482,14.947135732969558,16.09678951926922,False
D6_timevarying_r,,33,11.8,25,M4_delayed_info,46.60911578384775,288.4315613072112,14.947135732969558,16.09678951926922,False
D6_timevarying_r,,33,11.8,26,M1_autonomous_Schaefer,11.51110845153405,11.0429720900088,17.079055922378824,18.04716892214436,True
D6_timevarying_r,,33,11.8,26,M1b_autonomous_Allee,14.361573949139798,16.149256057867962,17.079055922378824,18.04716892214436,False
D6_timevarying_r,,33,11.8,26,M2_stockflow_regimeC,74.48732484780108,69.07321112703626,17.079055922378824,18.04716892214436,False
D6_timevarying_r,,33,11.8,26,M3_AR_residual,27.270014056355148,51.624736546932695,17.079055922378824,18.04716892214436,False
