K,period,mode,state,real,imag,real_lo_1ulp,real_hi_1ulp,imag_lo_1ulp,imag_hi_1ulp
120,370.93117783955665,65,A,-3.1785863231879577e-11,2.3275540894300568e-11,-3.1785863231879583e-11,-3.1785863231879571e-11,2.3275540894300565e-11,2.3275540894300571e-11
120,370.93117783955665,65,Z,9.0140468215172567e-10,-2.8482223382642748e-09,9.0140468215172556e-10,9.0140468215172577e-10,-2.8482223382642752e-09,-2.8482223382642744e-09
120,370.93117783955665,65,E,1.727566664144127e-08,-1.187530958685766e-08,1.7275666641441267e-08,1.7275666641441274e-08,-1.1875309586857662e-08,-1.1875309586857658e-08
120,370.93117783955665,66,N,-1.6125350839572478e-10,-6.3179872201343662e-10,-1.612535083957248e-10,-1.6125350839572475e-10,-6.3179872201343673e-10,-6.3179872201343652e-10
120,370.93117783955665,66,A,2.9882188324591418e-11,-7.0321173538444736e-12,2.9882188324591412e-11,2.9882188324591425e-11,-7.0321173538444744e-12,-7.0321173538444728e-12
120,370.93117783955665,66,Z,-1.7266617549618529e-09,1.712212903326971e-09,-1.7266617549618531e-09,-1.7266617549618527e-09,1.7122129033269708e-09,1.7122129033269712e-09
120,370.93117783955665,66,E,-1.6497415053318506e-08,3.3704296479935293e-09,-1.6497415053318509e-08,-1.6497415053318503e-08,3.3704296479935289e-09,3.3704296479935297e-09
120,370.93117783955665,67,N,-7.7876784764254616e-11,5.1049749009501589e-10,-7.7876784764254629e-11,-7.7876784764254604e-11,5.1049749009501579e-10,5.1049749009501599e-10
120,370.93117783955665,67,A,-2.3624817553073605e-11,-4.0479705647436015e-12,-2.3624817553073608e-11,-2.3624817553073602e-11,-4.0479705647436023e-12,-4.0479705647436007e-12
120,370.93117783955665,67,Z,1.8929396552925242e-09,-5.8148151513653833e-10,1.8929396552925238e-09,1.8929396552925247e-09,-5.8148151513653843e-10,-5.8148151513653823e-10
120,370.93117783955665,67,E,1.3264250907654545e-08,2.6800655352998715e-09,1.3264250907654544e-08,1.3264250907654547e-08,2.6800655352998711e-09,2.6800655352998719e-09
120,370.93117783955665,68,N,2.1491364957517667e-10,-3.4831851522275405e-10,2.1491364957517664e-10,2.149136495751767e-10,-3.483185152227541e-10,-3.48318515222754e-10
120,370.93117783955665,68,A,1.5727233505349919e-11,1.0088452181143945e-11,1.5727233505349916e-11,1.5727233505349923e-11,1.0088452181143944e-11,1.0088452181143947e-11
120,370.93117783955665,68,Z,-1.5857764174111245e-09,-2.9707115717160493e-10,-1.5857764174111247e-09,-1.5857764174111243e-09,-2.9707115717160498e-10,-2.9707115717160488e-10
120,370.93117783955665,68,E,-8.9780765408841684e-09,-6.1482521397029745e-09,-8.97807654088417e-09,-8.9780765408841667e-09,-6.1482521397029753e-09,-6.1482521397029737e-09
120,370.93117783955665,69,N,-2.648975534732865e-10,1.8765659137827546e-10,-2.6489755347328655e-10,-2.6489755347328645e-10,1.8765659137827544e-10,1.8765659137827549e-10
120,370.93117783955665,69,A,-8.2140706703434206e-12,-1.2077512305117801e-11,-8.2140706703434222e-12,-8.214070670343419e-12,-1.2077512305117802e-11,-1.2077512305117799e-11
120,370.93117783955665,69,Z,1.0320169613704534e-09,8.1504756289708437e-10,1.0320169613704532e-09,1.0320169613704536e-09,8.1504756289708427e-10,8.1504756289708448e-10
120,370.93117783955665,69,E,4.7174052277483008e-09,7.3749910562127926e-09,4.7174052277483e-09,4.7174052277483017e-09,7.3749910562127918e-09,7.3749910562127934e-09
120,370.93117783955665,70,N,2.517671369765716e-10,-5.4860468668880639e-11,2.5176713697657155e-10,2.5176713697657166e-10,-5.4860468668880645e-11,-5.4860468668880633e-11
120,370.93117783955665,70,A,2.2541611770110211e-12,1.1212807529357021e-11,2.2541611770110207e-12,2.2541611770110215e-12,1.1212807529357019e-11,1.1212807529357022e-11
120,370.93117783955665,70,Z,-4.3629188798072799e-10,-9.7960440175465353e-10,-4.3629188798072804e-10,-4.3629188798072794e-10,-9.7960440175465374e-10,-9.7960440175465332e-10
120,370.93117783955665,70,E,-1.1756637437366469e-09,-6.948521703254641e-09,-1.1756637437366471e-09,-1.1756637437366467e-09,-6.9485217032546418e-09,-6.9485217032546402e-09
120,370.93117783955665,71,N,-2.0108766102755663e-10,-3.8134120501561328e-11,-2.0108766102755666e-10,-2.0108766102755661e-10,-3.8134120501561335e-11,-3.8134120501561322e-11
120,370.93117783955665,71,A,1.8354802434210722e-12,-8.7612767424381501e-12,1.8354802434210718e-12,1.8354802434210726e-12,-8.7612767424381517e-12,-8.7612767424381484e-12
120,370.93117783955665,71,Z,-5.627484184704538e-11,8.7303131322840991e-10,-5.6274841847045387e-11,-5.6274841847045374e-11,8.7303131322840981e-10,8.7303131322841001e-10
120,370.93117783955665,71,E,-1.3161538568194685e-09,5.5210859069457739e-09,-1.3161538568194687e-09,-1.3161538568194683e-09,5.5210859069457731e-09,5.5210859069457747e-09
120,370.93117783955665,72,N,1.3522814527189452e-10,9.0449113246910447e-11,1.3522814527189449e-10,1.3522814527189454e-10,9.0449113246910434e-11,9.044911324691046e-11
120,370.93117783955665,72,A,-4.0046351381903636e-12,5.7584460645958928e-12,-4.0046351381903644e-12,-4.0046351381903628e-12,5.758446064595892e-12,5.7584460645958936e-12
120,370.93117783955665,72,Z,3.718440414683637e-10,-6.0952466299327222e-10,3.7184404146836365e-10,3.7184404146836376e-10,-6.0952466299327232e-10,-6.0952466299327212e-10
120,370.93117783955665,72,E,2.7159040654610816e-09,-3.6798063987066328e-09,2.7159040654610811e-09,2.715904065461082e-09,-3.6798063987066332e-09,-3.6798063987066324e-09
120,370.93117783955665,73,N,-7.0808050581905054e-11,-1.0831140586847503e-10,-7.0808050581905067e-11,-7.0808050581905041e-11,-1.0831140586847505e-10,-1.0831140586847502e-10
120,370.93117783955665,73,A,4.6580144872999802e-12,-2.9296399202096953e-12,4.6580144872999794e-12,4.658014487299981e-12,-2.9296399202096957e-12,-2.9296399202096949e-12
120,370.93117783955665,73,Z,-5.001316610252925e-10,2.9950201715313669e-10,-5.001316610252926e-10,-5.001316610252924e-10,2.9950201715313664e-10,2.9950201715313674e-10
120,370.93117783955665,73,E,-3.1756226525399233e-09,1.8735951411876309e-09,-3.1756226525399237e-09,-3.1756226525399229e-09,1.8735951411876304e-09,1.8735951411876313e-09
