class_,q,channel,T_r,rho
slow_stock,0.001,extractive,39,0.75832647
slow_stock,0.001,extractive,40,0.75045293
slow_stock,0.001,extractive,41,0.7425637
slow_stock,0.001,extractive,42,0.73466084
slow_stock,0.001,extractive,43,0.72674681
slow_stock,0.001,extractive,44,0.71882445
slow_stock,0.001,extractive,45,0.71089697
slow_stock,0.001,extractive,46,0.70296789
slow_stock,0.001,extractive,47,0.69504098
slow_stock,0.001,extractive,48,0.6871203
slow_stock,0.001,extractive,49,0.67921017
slow_stock,0.001,extractive,50,0.67131504
slow_stock,0.001,protective,1,0.96764736
slow_stock,0.001,protective,2,0.92981594
slow_stock,0.001,protective,3,0.89659329
slow_stock,0.001,protective,4,0.86455768
slow_stock,0.001,protective,5,0.83366671
slow_stock,0.001,protective,6,0.80387949
slow_stock,0.001,protective,7,0.77515657
slow_stock,0.001,protective,8,0.74745993
slow_stock,0.001,protective,9,0.72075289
slow_stock,0.001,protective,10,0.69500012
slow_stock,0.001,protective,11,0.6701675
slow_stock,0.001,protective,12,0.64622216
slow_stock,0.001,protective,13,0.62313239
slow_stock,0.001,protective,14,0.60086764
slow_stock,0.001,protective,15,0.57939841
slow_stock,0.001,protective,16,0.55869628
slow_stock,0.001,protective,17,0.53873384
slow_stock,0.001,protective,18,0.51948466
slow_stock,0.001,protective,19,0.50092326
slow_stock,0.001,protective,20,0.48302506
slow_stock,0.001,protective,21,0.46576638
slow_stock,0.001,protective,22,0.44912434
slow_stock,0.001,protective,23,0.43307693
slow_stock,0.001,protective,24,0.41760291
slow_stock,0.001,protective,25,0.40268179
slow_stock,0.001,protective,26,0.38829378
slow_stock,0.001,protective,27,0.37441987
slow_stock,0.001,protective,28,0.36104167
slow_stock,0.001,protective,29,0.34814149
slow_stock,0.001,protective,30,0.33570224
slow_stock,0.001,protective,31,0.32370742
slow_stock,0.001,protective,32,0.3121412
slow_stock,0.001,protective,33,0.30098823
slow_stock,0.001,protective,34,0.29023377
slow_stock,0.001,protective,35,0.27986357
slow_stock,0.001,protective,36,0.26986389
slow_stock,0.001,protective,37,0.26022152
slow_stock,0.001,protective,38,0.25092367
slow_stock,0.001,protective,39,0.24195806
slow_stock,0.001,protective,40,0.2333128
slow_stock,0.001,protective,41,0.22497645
slow_stock,0.001,protective,42,0.21693796
slow_stock,0.001,protective,43,0.20918668
slow_stock,0.001,protective,44,0.20171236
slow_stock,0.001,protective,45,0.19450509
slow_stock,0.001,protective,46,0.18755535
slow_stock,0.001,protective,47,0.18085392
slow_stock,0.001,protective,48,0.17439196
slow_stock,0.001,protective,49,0.16816087
slow_stock,0.001,protective,50,0.16215241
slow_stock,0.1,extractive,1,1.29181404
slow_stock,0.1,extractive,2,1.65409804
slow_stock,0.1,extractive,3,2.06925885
