stockid,stocklong,SSB_now,F_now,B_lim,ADH,lastyear,tsn,scientificname,commonname,family,ordername,taxGroup,FisheryType,zero,stocklong_short
NEPHVIIIab,Norway lobster ICES 8ab,3370.0,6.0,834.0,0.2327391034979434,2017,97317,Nephrops norvegicus,Norway lobster,Nephropidae,Decapoda,crabs-lobsters,Invertebrate,0,Norway lobster ICES 8ab
NPOUTIIIa-IV,Norway pout ICES 3a-4,78191.0,0.319,49123.8,1.457087489039934,2023,164756,Trisopterus esmarkii,Norway pout,Gadidae,Gadiformes,gadids,Gadids,0,Norway pout ICES 3a-4
NROCKBSAI,Northern rockfish Bering Sea and Aleutian Islands,125932.0,0.02784,28717.2,53.09791064438578,2021,166735,Sebastes polyspinis,Northern rockfish,Sebastidae,Scorpaeniformes,sebastids,Rockfish,0,Northern rockfish Bering Sea and Aleutian Islands
NROCKGA,Northern rockfish Gulf of Alaska,42600.0,0.0304,15120.0,34.07354876723479,2020,166735,Sebastes polyspinis,Northern rockfish,Sebastidae,Scorpaeniformes,sebastids,Rockfish,0,Northern rockfish Gulf of Alaska
NRSOLEEBSAI,Northern rock sole Eastern Bering Sea and Aleutian Islands,314380.0,0.068000004,113770.6,14.94732713492722,2020,616392,Lepidopsetta polyxystra,Northern rock sole,Pleuronectidae,Pleuronectiformes,pleuronectids,Flatfish,0,Northern rock sole Eastern Bering Sea and Aleutian Islands
NRSOLEGA,Northern rock sole Gulf of Alaska,41800.0,0.0343,10580.0,40.05629484258185,2017,616392,Lepidopsetta polyxystra,Northern rock sole,Pleuronectidae,Pleuronectiformes,pleuronectids,Flatfish,0,Northern rock sole Gulf of Alaska
NSHRIMPCSCH,Nylon shrimp Central-Southern Chile,10400.0,0.164,3160.0,7.263620600905527,2016,97075,Heterocarpus reedi,Nylon shrimp,Pandalidae,Decapoda,shrimps,Invertebrate,0,Nylon shrimp Central-Southern Chile
NSHRIMPNCH,Nylon shrimp Northern Chile,3330.0,0.134,1336.0,6.815613648342525,2016,97075,Heterocarpus reedi,Nylon shrimp,Pandalidae,Decapoda,shrimps,Invertebrate,0,Nylon shrimp Northern Chile
NZLINGLIN3-4,Ling New Zealand Areas LIN 3 and 4,58865.0,0.0233,21644.800000000003,42.93911784069292,2022,165000,Genypterus blacodes,Ling,Ophidiidae,Ophidiiformes,other marine fish,Other Marine,0,Ling New Zealand Areas LIN 3 and 4
NZLINGLIN5-6,Ling New Zealand Areas LIN 5 and 6,135911.0,0.0202,40925.600000000006,59.418043348296784,2024,165000,Genypterus blacodes,Ling,Ophidiidae,Ophidiiformes,other marine fish,Other Marine,0,Ling New Zealand Areas LIN 5 and 6
NZLINGLIN6b,Ling New Zealand Areas LIN 6b,6590.0,0.0348,2520.0,27.62340364916908,2006,165000,Genypterus blacodes,Ling,Ophidiidae,Ophidiiformes,other marine fish,Other Marine,0,Ling New Zealand Areas LIN 6b
NZLINGLIN72,Ling New Zealand Areas LIN 72,3450.0,0.0795,1476.0,10.67972962094324,2010,165000,Genypterus blacodes,Ling,Ophidiidae,Ophidiiformes,other marine fish,Other Marine,0,Ling New Zealand Areas LIN 72
NZLINGLIN7WC,Ling New Zealand Areas LIN 7WC-WCSI,34737.0,0.027,12433.6,38.05195984538536,2022,165000,Genypterus blacodes,Ling,Ophidiidae,Ophidiiformes,other marine fish,Other Marine,0,Ling New Zealand Areas LIN 7WC-WCSI
NZSNAPNZ7,New Zealand snapper New Zealand SNA 7,13153.5,0.029938792,2630.7000000000003,53.75761027479333,2023,169231,Chrysophrys auratus,New Zealand snapper,Sparidae,Perciformes,other marine percoidids,Other Marine,0,New Zealand snapper New Zealand SNA 7
NZSNAPNZ8,New Zealand snapper New Zealand Area 8 (Auckland and Central West),49830.0,0.046088406,9966.0,34.92066773656916,2024,169231,Chrysophrys auratus,New Zealand snapper,Sparidae,Perciformes,other marine percoidids,Other Marine,0,New Zealand snapper New Zealand Area 8 (Auckland and Central West)
OFLOUNECS,Japanese flounder East China Sea,2460.0,0.59,542.0,2.56381462285892,2013,172744,Paralichthys olivaceus,Japanese flounder,Paralichthyidae,Pleuronectiformes,pleuronectids,Flatfish,0,Japanese flounder East China Sea
OROUGHYNZMEC,Orange roughy New Zealand Mid East Coast,11538.0,0.1,11069.6,0.4144332346166002,2021,166139,Hoplostethus atlanticus,Orange roughy,Trachichthyidae,Beryciformes,other marine fish,Other Marine,0,Orange roughy New Zealand Mid East Coast
OROUGHYSE,Orange roughy Southeast Australia,8790.0,0.00186,10280.0,0.0,2013,166139,Hoplostethus atlanticus,Orange roughy,Trachichthyidae,Beryciformes,other marine fish,Other Marine,1,Orange roughy Southeast Australia
OWSHARCWPAC,Oceanic whitetip shark Central Western Pacific Ocean,295774.0,0.1,64540.0,15.223104625618394,2015,160330,Carcharhinus longimanus,Oceanic whitetip shark,Carcharhinidae,Carcharhiniformes,elasmobranchs,Sharks Rays and Skates,0,Oceanic whitetip shark Central Western Pacific Ocean
PACBTUNA,Pacific bluefin tuna Pacific Ocean,28228.0,0.045,31260.4,0.0,2018,172422,Thunnus orientalis,Pacific bluefin tuna,Scombridae,Perciformes,tuna-billfish,Tuna and Marlin,1,Pacific bluefin tuna Pacific Ocean
PANCHCCH,Peruvian anchoveta Central Chile,120240.0,0.373,30372.0,3.688923898374616,2020,551340,Engraulis ringens,Peruvian anchoveta,Engraulidae,Clupeiformes,forage fish,Forage Fish,0,Peruvian anchoveta Central Chile
PANCHCSCH,Peruvian anchoveta Central-Southern Chile,495110.0,0.385,187330.0,2.524436863974661,2020,551340,Engraulis ringens,Peruvian anchoveta,Engraulidae,Clupeiformes,forage fish,Forage Fish,0,Peruvian anchoveta Central-Southern Chile
PANCHNCHSP,Peruvian anchoveta Northern Chile Southern Peru,1259400.0,0.52977,493400.0,1.7688251353594693,2019,551340,Engraulis ringens,Peruvian anchoveta,Engraulidae,Clupeiformes,forage fish,Forage Fish,0,Peruvian anchoveta Northern Chile Southern Peru
PANCHPERUNC,Peruvian anchoveta North-Central Peruvian coast,6590000.0,0.588,2300000.0,1.790211267992027,2008,551340,Engraulis ringens,Peruvian anchoveta,Engraulidae,Clupeiformes,forage fish,Forage Fish,0,Peruvian anchoveta North-Central Peruvian coast
PANDALGOM,Northern shrimp Gulf of Maine,707.0,0.002,2068.8,0.0,2020,96967,Pandalus borealis,Northern shrimp,Pandalidae,Decapoda,shrimps,Invertebrate,1,Northern shrimp Gulf of Maine
PANDALIIIaW-IVaE,Northern shrimp ICES 3a(west)-4a(east),7580.0,0.587287333,4760.0,0.792228105847724,2021,96967,Pandalus borealis,Northern shrimp,Pandalidae,Decapoda,shrimps,Invertebrate,0,Northern shrimp ICES 3a(west)-4a(east)
PATGRENADIERSARG,Patagonian grenadier Southern Argentina,275663.0,0.097,121654.8,8.432902879049669,2018,550662,Macruronus magellanicus,Patagonian grenadier,Merlucciidae,Gadiformes,gadids,Gadids,0,Patagonian grenadier Southern Argentina
PAUANPAU5A,Paua NZ Area North PAUA 5A,576.0,0.328,248.0,2.5691430321064304,2014,-997,Haliotis iris,Paua,Haliotidae,Archaeogastropoda,bivalves-gastropods,Invertebrate,0,Paua NZ Area North PAUA 5A
PAUAPAU7,Paua New Zealand Area PAU 7 (Marlborough),780.0,0.429,856.0,0.0,2015,-997,Haliotis iris,Paua,Haliotidae,Archaeogastropoda,bivalves-gastropods,Invertebrate,1,Paua New Zealand Area PAU 7 (Marlborough)
PAUASPAU5A,Paua NZ Area South PAUA 5A,561.0,0.222,276.0,3.1951353144393977,2014,-997,Haliotis iris,Paua,Haliotidae,Archaeogastropoda,bivalves-gastropods,Invertebrate,0,Paua NZ Area South PAUA 5A
PCEELARGS,Pink cusk eel Southern Argentina,48000.0,0.139,73800.0,0.0,2013,165000,Genypterus blacodes,Pink cusk eel,Ophidiidae,Ophidiiformes,other marine fish,Other Marine,1,Pink cusk eel Southern Argentina
PCEELCSCH,Pink cusk eel Central-Southern Chile,6552.0,0.13,3497.6000000000004,4.828410211928352,2020,165000,Genypterus blacodes,Pink cusk eel,Ophidiidae,Ophidiiformes,other marine fish,Other Marine,0,Pink cusk eel Central-Southern Chile
PCEELSCH,Pink cusk eel Southern Chile,4109.0,0.03,2467.4,17.00049084153485,2020,165000,Genypterus blacodes,Pink cusk eel,Ophidiidae,Ophidiiformes,other marine fish,Other Marine,0,Pink cusk eel Southern Chile
PCODBS,Pacific cod Bering Sea,254718.0,0.280000001,96150.2,3.4794481973968643,2021,164711,Gadus macrocephalus,Pacific cod,Gadidae,Gadiformes,gadids,Gadids,0,Pacific cod Bering Sea
PCODGA,Pacific cod Gulf of Alaska,34600.0,0.169,48600.0,0.0,2020,164711,Gadus macrocephalus,Pacific cod,Gadidae,Gadiformes,gadids,Gadids,1,Pacific cod Gulf of Alaska
PERCHEBSAI,Pacific ocean perch Eastern Bering Sea and Aleutian Islands,310036.0,0.078029998,100691.2,14.41279047764532,2021,166707,Sebastes alutus,Pacific ocean perch,Sebastidae,Scorpaeniformes,sebastids,Rockfish,0,Pacific ocean perch Eastern Bering Sea and Aleutian Islands
PHAKEPCOAST,Pacific hake Pacific Coast,981000.0,0.395,468000.0,1.873681426956244,2021,164792,Merluccius productus,Pacific hake,Merlucciidae,Gadiformes,gadids,Gadids,0,Pacific hake Pacific Coast
PHALNPAC,Pacific halibut North Pacific,87996.91978,0.419999987,63775.08722,0.7665218801974005,2020,172932,Hippoglossus stenolepis,Pacific halibut,Pleuronectidae,Pleuronectiformes,pleuronectids,Flatfish,0,Pacific halibut North Pacific
PICAMEDGSA25,Picarel Cyprus Island,1350.0,0.08,270.0,20.11797390542625,2010,647991,Spicara smaris,Picarel,Sparidae,Perciformes,other marine percoidids,Other Marine,0,Picarel Cyprus Island
PILCHPJPN,Japanese sardine Pacific Coast of Japan,1585000.0,0.41,2671000.0,0.0,2019,551222,Sardinops melanostictus,Japanese sardine,Clupeidae,Clupeiformes,forage fish,Forage Fish,1,Japanese sardine Pacific Coast of Japan
PINKSHRIMPGM,Pink shrimp Gulf of Mexico,16097.36682,0.20043,14279.604322,0.5978319566805191,2017,551574,Farfantepenaeus duorarum,Pink shrimp,Penaeidae,Decapoda,shrimps,Invertebrate,0,Pink shrimp Gulf of Mexico
PLAIC2123,European plaice Subdivisions 21-23,18900.0,0.291,3780.0,5.530714475718559,2021,172902,Pleuronectes platessa,European plaice,Pleuronectidae,Pleuronectiformes,pleuronectids,Flatfish,0,European plaice Subdivisions 21-23
PLAIC2432,European plaice Subdivisions 24-32,2.39,0.54135499,0.514,2.838849567952429,2020,172902,Pleuronectes platessa,European plaice,Pleuronectidae,Pleuronectiformes,pleuronectids,Flatfish,0,European plaice Subdivisions 24-32
PLAIC7d,European plaice Eastern English Channel,39900.0,0.21679475,10880.0,5.993918591054539,2021,172902,Pleuronectes platessa,European plaice,Pleuronectidae,Pleuronectiformes,pleuronectids,Flatfish,0,European plaice Eastern English Channel
PLAICCELT,European plaice Celtic Sea,1.33,1.29,0.266,1.2476262887086047,2013,172902,Pleuronectes platessa,European plaice,Pleuronectidae,Pleuronectiformes,pleuronectids,Flatfish,0,European plaice Celtic Sea
PLAICECHW,European plaice Western English Channel,1.49,0.613437919,0.418,2.0720107561768586,2020,172902,Pleuronectes platessa,European plaice,Pleuronectidae,Pleuronectiformes,pleuronectids,Flatfish,0,European plaice Western English Channel
PLAICIS,European plaice Irish Sea,15800.0,0.044,3880.0,31.913063327221344,2021,172902,Pleuronectes platessa,European plaice,Pleuronectidae,Pleuronectiformes,pleuronectids,Flatfish,0,European plaice Irish Sea
PLAICNS,European plaice North Sea,893312.8,0.084810415,234312.0,15.779703930307672,2023,172902,Pleuronectes platessa,European plaice,Pleuronectidae,Pleuronectiformes,pleuronectids,Flatfish,0,European plaice North Sea
PLAICVIIh-k,European plaice ICES 7h-k,0.578533517,0.910120457,0.43416552,0.31542048817438,2019,172902,Pleuronectes platessa,European plaice,Pleuronectidae,Pleuronectiformes,pleuronectids,Flatfish,0,European plaice ICES 7h-k
POLL5YZ,Pollock Gulf of Maine / Georges Bank,212000.0,0.038,89000.0,22.840786972101917,2018,164727,Pollachius virens,Pollock,Gadidae,Gadiformes,gadids,Gadids,0,Pollock Gulf of Maine / Georges Bank
POLLFAPL,Saithe Faroe Plateau,49125.0,0.211,32204.800000000003,2.0011969688419886,2023,164727,Pollachius virens,Saithe,Gadidae,Gadiformes,gadids,Gadids,0,Saithe Faroe Plateau
POLLIEG,Saithe Iceland Grounds,142362.0,0.17,33636.4,8.486848797135579,2023,164727,Pollachius virens,Saithe,Gadidae,Gadiformes,gadids,Gadids,0,Saithe Iceland Grounds
POLLNEAR,Saithe North-East Arctic,569000.0,0.219,119600.0,7.122043801871231,2021,164727,Pollachius virens,Saithe,Gadidae,Gadiformes,gadids,Gadids,0,Saithe North-East Arctic
POLLNS-VI-IIIa,Saithe ICES 3a-4-6,138000.0,0.453,115200.0,0.3986400372967193,2021,164727,Pollachius virens,Saithe,Gadidae,Gadiformes,gadids,Gadids,0,Saithe ICES 3a-4-6
POPERCHGA,Pacific ocean perch Gulf of Alaska,222301.0,0.062369999,49902.2,23.953298915775413,2021,166707,Sebastes alutus,Pacific ocean perch,Sebastidae,Scorpaeniformes,sebastids,Rockfish,0,Pacific ocean perch Gulf of Alaska
POPERCHPCOAST,Pacific ocean perch Pacific Coast,5280380000.0,0.01333,1383666000.0,100.46973490130392,2017,166707,Sebastes alutus,Pacific ocean perch,Sebastidae,Scorpaeniformes,sebastids,Rockfish,0,Pacific ocean perch Pacific Coast
PRCODMEDGSA9,Poor cod Ligurian and North Tyrrhenian Sea,163.0,0.9,32.6,1.7882643471490005,2011,164754,Trisopterus minutus,Poor cod,Gadidae,Gadiformes,gadids,Gadids,0,Poor cod Ligurian and North Tyrrhenian Sea
PSHRMPMEDGSA6,Deep water rose shrimp Northern Spain,145.0,1.48,51.400000000000006,0.7007402499726046,2012,95733,Parapenaeus longirostris,Deep water rose shrimp,Penaeidae,Decapoda,shrimps,Invertebrate,0,Deep water rose shrimp Northern Spain
PSOLEPCOAST,Petrale sole Pacific Coast,12500.0,0.496,6700.0,1.2573006409502725,2021,172868,Eopsetta jordani,Petrale sole,Pleuronectidae,Pleuronectiformes,pleuronectids,Flatfish,0,Petrale sole Pacific Coast
PTOOTHFISHCH,Patagonian toothfish South Chile Argentina,36836.0,0.07,13085.8,14.784970786249444,2019,642807,Dissostichus eleginoides,Patagonian toothfish,Nototheniidae,Perciformes,other marine fish,Other Marine,0,Patagonian toothfish South Chile Argentina
PTOOTHFISHMI,Patagonian toothfish Macquarie Island,2000.0,0.0113,742.0,87.74807224554884,2010,642807,Dissostichus eleginoides,Patagonian toothfish,Nototheniidae,Perciformes,other marine fish,Other Marine,0,Patagonian toothfish Macquarie Island
RDSHRMPMEDGSA1,Red shrimp Northern Alboran Sea,197.011,0.54228,39.4022,2.96790940553607,2022,96062,Aristeus antennatus,Red shrimp,Aristeidae,Decapoda,shrimps,Invertebrate,0,Red shrimp Northern Alboran Sea
RDSHRMPMEDGSA6-7,Red shrimp Geographical Sub-Areas 6-7,347.9856299,1.304975,92.81825758,1.0126767362793394,2019,96062,Aristeus antennatus,Red shrimp,Aristeidae,Decapoda,shrimps,Invertebrate,0,Red shrimp Geographical Sub-Areas 6-7
RDSHRMPMEDGSA9-11,Red shrimp Geographical Sub-Areas 9-11,231.6482562,1.7780975,120.05235396,0.3696603552168683,2019,96062,Aristeus antennatus,Red shrimp,Aristeidae,Decapoda,shrimps,Invertebrate,0,Red shrimp Geographical Sub-Areas 9-11
REDDEEPDP-1-2-V-XII-XIV,Beaked redfish ICES 5-12-14 and NAFO Subareas 1-2 (deep),0.282044342,1.593271091,0.4061471554,0.0,2019,166756,Sebastes mentella,Beaked redfish,Sebastidae,Scorpaeniformes,sebastids,Rockfish,1,Beaked redfish ICES 5-12-14 and NAFO Subareas 1-2 (deep)
REDDEEPI-II,Deepwater redfish North-East Arctic,918000.0,0.039,193200.0,39.96080689338648,2020,166756,Sebastes mentella,Deepwater redfish,Sebastidae,Scorpaeniformes,sebastids,Rockfish,0,Deepwater redfish North-East Arctic
REDFEAUS,Redfish Eastern Australia,486.0,0.0308,1764.0,0.0,2016,622131,Centroberyx affinis,Redfish,Berycidae,Beryciformes,other marine fish,Other Marine,1,Redfish Eastern Australia
REDFISHSPP3M,Redfish species Flemish Cap,63000.0,0.0463,14400.0,31.877030665433647,2014,166705,Sebastes spp,Redfish species,Sebastidae,Scorpaeniformes,sebastids,Rockfish,0,Redfish species Flemish Cap
REXSOLEGA,Rex sole Gulf of Alaska,36411.0,0.025,9454.2,53.93647358313665,2018,172978,Glyptocephalus zachirus,Rex sole,Pleuronectidae,Pleuronectiformes,pleuronectids,Flatfish,0,Rex sole Gulf of Alaska
REYEROCKBSAI,Rougheye rockfish Bering Sea and Aleutian Islands,6980.0,0.0174,1396.0,92.49643174908624,2014,166706,Sebastes aleutianus,Rougheye rockfish,Sebastidae,Scorpaeniformes,sebastids,Rockfish,0,Rougheye rockfish Bering Sea and Aleutian Islands
REYEROCKGA,Rougheye rockfish Gulf of Alaska,13800.0,0.00859,3380.0,163.77099914647633,2009,166706,Sebastes aleutianus,Rougheye rockfish,Sebastidae,Scorpaeniformes,sebastids,Rockfish,0,Rougheye rockfish Gulf of Alaska
RGROUPGM,Red grouper Gulf of Mexico,614000000.0,0.203,268000000.0,4.083782993282195,2017,167702,Epinephelus morio,Red grouper,Serranidae,Perciformes,other marine percoidids,Other Marine,0,Red grouper Gulf of Mexico
RGROUPSATL,Red grouper South Atlantic,910.525,0.18,599.6806,2.320134311603113,2015,167702,Epinephelus morio,Red grouper,Serranidae,Perciformes,other marine percoidids,Other Marine,0,Red grouper South Atlantic
RKCRABBB,Red king crab Bristol Bay,14795.00008,0.167,23851.80054,0.0,2021,97935,Paralithodes camtschaticus,Red king crab,Lithodidae,Decapoda,crabs-lobsters,Invertebrate,1,Red king crab Bristol Bay
RMULLMEDGSA1,Red mullet Northern Alboran Sea,160.8349699,1.027955667,77.85376702,0.7058149933925726,2019,169419,Mullus barbatus,Red mullet,Mullidae,Perciformes,other marine percoidids,Other Marine,0,Red mullet Northern Alboran Sea
RMULLMEDGSA10,Red mullet South Tyrrhenian Sea,660.7294095,0.475013333,152.39969572,3.087992782763988,2019,169419,Mullus barbatus,Red mullet,Mullidae,Perciformes,other marine percoidids,Other Marine,0,Red mullet South Tyrrhenian Sea
RMULLMEDGSA11,Red mullet Sardinia,94.4,1.05,40.6,0.8035933395654935,2012,169419,Mullus barbatus,Red mullet,Mullidae,Perciformes,other marine percoidids,Other Marine,0,Red mullet Sardinia
RMULLMEDGSA15-16,"Red mullet Malta Island and South of Sicily (GSA 15, 16)",1150.0,1.3,478.0,0.6753126837429536,2011,169419,Mullus barbatus,Red mullet,Mullidae,Perciformes,other marine percoidids,Other Marine,0,"Red mullet Malta Island and South of Sicily (GSA 15, 16)"
RMULLMEDGSA17-18,"Red mullet Adriatic Sea (GSA 17,18)",7586.975084,0.686721,1517.3950168,2.3436561754105383,2019,169419,Mullus barbatus,Red mullet,Mullidae,Perciformes,other marine percoidids,Other Marine,0,"Red mullet Adriatic Sea (GSA 17,18)"
RMULLMEDGSA19,Red mullet Western Ionian Sea,641.0,0.56,255.8,1.6404170853141564,2016,169419,Mullus barbatus,Red mullet,Mullidae,Perciformes,other marine percoidids,Other Marine,0,Red mullet Western Ionian Sea
RMULLMEDGSA22,Red mullet Aegean Sea,12379.25545,0.149766333,2475.85109,10.746326495381975,2019,169419,Mullus barbatus,Red mullet,Mullidae,Perciformes,other marine percoidids,Other Marine,0,Red mullet Aegean Sea
RMULLMEDGSA25,Red mullet Cyprus Island,58.2,0.84,11.64,1.9159975148025004,2008,169419,Mullus barbatus,Red mullet,Mullidae,Perciformes,other marine percoidids,Other Marine,0,Red mullet Cyprus Island
RMULLMEDGSA29,Red mullet Black Sea,6933.07,0.542196654,3049.9120000000003,1.5145611333938265,2021,169419,Mullus barbatus,Red mullet,Mullidae,Perciformes,other marine percoidids,Other Marine,0,Red mullet Black Sea
RMULLMEDGSA5,Red mullet Balearic Island,28.9,1.07,9.340000000000002,1.055640507362276,2012,169419,Mullus barbatus,Red mullet,Mullidae,Perciformes,other marine percoidids,Other Marine,0,Red mullet Balearic Island
RMULLMEDGSA6,Red mullet Northern Spain,1015.0,1.349,203.0,1.1930599795656784,2022,169419,Mullus barbatus,Red mullet,Mullidae,Perciformes,other marine percoidids,Other Marine,0,Red mullet Northern Spain
RMULLMEDGSA7,Red mullet Gulf of Lions,882.6,0.42,176.52,3.8319950296050007,2022,169419,Mullus barbatus,Red mullet,Mullidae,Perciformes,other marine percoidids,Other Marine,0,Red mullet Gulf of Lions
RMULLMEDGSA9,Red mullet Ligurian and North Tyrrhenian Sea,1408.895845,0.845707333,281.779169,1.9030672309827308,2019,169419,Mullus barbatus,Red mullet,Mullidae,Perciformes,other marine percoidids,Other Marine,0,Red mullet Ligurian and North Tyrrhenian Sea
RPORGYSATLC,Red porgy Southern Atlantic coast,780.0,0.312,974.0,0.0,2017,169207,Pagrus pagrus,Red porgy,Sparidae,Perciformes,other marine percoidids,Other Marine,1,Red porgy Southern Atlantic coast
RSHRMPMEDGSA1,Deep water rose shrimp Northern Alboran Sea,344.690802,0.869257,68.9381604,1.8515098669715635,2022,95733,Parapenaeus longirostris,Deep water rose shrimp,Penaeidae,Decapoda,shrimps,Invertebrate,0,Deep water rose shrimp Northern Alboran Sea
RSHRMPMEDGSA12-16,Deep water rose shrimp Geographical Sub-Areas 12-16,4630.0,1.65,1136.0,0.8515415441207171,2009,95733,Parapenaeus longirostris,Deep water rose shrimp,Penaeidae,Decapoda,shrimps,Invertebrate,0,Deep water rose shrimp Geographical Sub-Areas 12-16
RSHRMPMEDGSA17-19,Deep water rose shrimp Geographical Sub-Areas 17-19,3220.884696,1.488336667,644.1769392000001,1.0813668359580235,2019,95733,Parapenaeus longirostris,Deep water rose shrimp,Penaeidae,Decapoda,shrimps,Invertebrate,0,Deep water rose shrimp Geographical Sub-Areas 17-19
RSHRMPMEDGSA5,Deep water rose shrimp Balearic Island,6.85,0.68,7.6,0.0,2012,95733,Parapenaeus longirostris,Deep water rose shrimp,Penaeidae,Decapoda,shrimps,Invertebrate,1,Deep water rose shrimp Balearic Island
RSHRMPMEDGSA9-11,Deep water rose shrimp Geographical Sub-Areas 9-11,2575.138884,1.02535,529.5305544,1.5425638850650232,2019,95733,Parapenaeus longirostris,Deep water rose shrimp,Penaeidae,Decapoda,shrimps,Invertebrate,0,Deep water rose shrimp Geographical Sub-Areas 9-11
RSNAPGM,Red snapper Gulf of Mexico,867000000000000.0,0.0619,636000000000000.0,5.005499409376732,2016,168853,Lutjanus campechanus,Red snapper,Lutjanidae,Perciformes,other marine percoidids,Other Marine,0,Red snapper Gulf of Mexico
RSNAPSATLC,Red snapper Southern Atlantic coast,27900000000000.0,0.451999992,29400000000000.0,0.0,2019,168853,Lutjanus campechanus,Red snapper,Lutjanidae,Perciformes,other marine percoidids,Other Marine,1,Red snapper Southern Atlantic coast
RSOLEGA,Rock sole Gulf of Alaska,76100.0,0.0172,21200.0,74.30506297614379,2017,172917,Lepidopsetta bilineata,Rock sole,Pleuronectidae,Pleuronectiformes,pleuronectids,Flatfish,0,Rock sole Gulf of Alaska
RSOLEHSTR,Rock sole Hecate Strait,15400.0,0.126,4340.0,10.051533026248176,2014,172917,Lepidopsetta bilineata,Rock sole,Pleuronectidae,Pleuronectiformes,pleuronectids,Flatfish,0,Rock sole Hecate Strait
RSQLOBSTERCSCH,Red squat lobster Central-Southern Chile,14100.0,0.35,22400.0,0.0,2015,-993,Pleuroncodes monodon,Red squat lobster,Munididae,Decapoda,crabs-lobsters,Invertebrate,1,Red squat lobster Central-Southern Chile
RSQLOBSTERNCH,Red squat lobster Northern Chile,4480.0,0.14,1942.0,5.97074768969829,2015,-993,Pleuroncodes monodon,Red squat lobster,Munididae,Decapoda,crabs-lobsters,Invertebrate,0,Red squat lobster Northern Chile
SAABALONESA,South African abalone South Africa,5080.0,0.0352,5780.0,0.0,2015,-995,Haliotis midae,South African abalone,Haliotidae,Archaeogastropoda,bivalves-gastropods,Invertebrate,1,South African abalone South Africa
SABLEFEBSAIGA,Sablefish Eastern Bering Sea / Aleutian Islands / Gulf of Alaska,94400.0,0.068,48600.0,9.763493268308926,2020,167123,Anoplopoma fimbria,Sablefish,Anoplopomatidae,Scorpaeniformes,other scorpaenids,Other Marine,0,Sablefish Eastern Bering Sea / Aleutian Islands / Gulf of Alaska
SABLEFPCOAST,Sablefish Pacific Coast,90800.0,0.222,41600.0,3.516032064594729,2020,167123,Anoplopoma fimbria,Sablefish,Anoplopomatidae,Scorpaeniformes,other scorpaenids,Other Marine,0,Sablefish Pacific Coast
SARDMEDGSA16,Sardine South of Sicily,642.7,1.6663905,856.5500000000001,0.0,2021,161813,Sardina pilchardus,Sardine,Clupeidae,Clupeiformes,forage fish,Forage Fish,1,Sardine South of Sicily
SARDMEDGSA17-18,"Sardine Adriatic Sea (GSA 17,18)",172166.8,0.29,79751.58000000002,2.653611106736986,2022,161813,Sardina pilchardus,Sardine,Clupeidae,Clupeiformes,forage fish,Forage Fish,0,"Sardine Adriatic Sea (GSA 17,18)"
SARDMEDGSA20,European pilchard Eastern Ionian Sea,5650.0,0.68,1130.0,2.366820459461912,2008,161813,Sardina pilchardus,European pilchard,Clupeidae,Clupeiformes,forage fish,Forage Fish,0,European pilchard Eastern Ionian Sea
SARDMEDGSA22-23,"European pilchard Aegean Sea and Crete Island (GSA 22,23)",33851.0,0.53425,8016.8,2.6961707089516738,2016,161813,Sardina pilchardus,European pilchard,Clupeidae,Clupeiformes,forage fish,Forage Fish,0,"European pilchard Aegean Sea and Crete Island (GSA 22,23)"
SARDMEDGSA6,European pilchard Northern Spain,27799.5,0.465,18080.44,0.9251340730585892,2022,161813,Sardina pilchardus,European pilchard,Clupeidae,Clupeiformes,forage fish,Forage Fish,0,European pilchard Northern Spain
SARDMEDGSA7,Sardine Gulf of Lions,47815.0,0.001,23303.6,718.7315427269731,2022,161813,Sardina pilchardus,Sardine,Clupeidae,Clupeiformes,forage fish,Forage Fish,0,Sardine Gulf of Lions
SARDPVIIIc-IXa,Sardine ICES 8c-9a,451000.0,0.060517138,234000.0,10.842320800844496,2021,161813,Sardina pilchardus,Sardine,Clupeidae,Clupeiformes,forage fish,Forage Fish,0,Sardine ICES 8c-9a
SARDVIIIabd,Sardine ICES 8abd,104000.0,0.379262,35800.0,2.811889948728631,2020,161813,Sardina pilchardus,Sardine,Clupeidae,Clupeiformes,forage fish,Forage Fish,0,Sardine ICES 8abd
SARDWSE,Sardine Western half of Southeast Australia,127437.0,0.0993383,25487.4,16.20158501236784,2017,161729,Sardinops sagax,Sardine,Clupeidae,Clupeiformes,forage fish,Forage Fish,0,Sardine Western half of Southeast Australia
SAURNWPAC,Pacific saury Northwest Pacific,1410000.0,0.264,514000.0,3.822430749685791,2013,165609,Cololabis saira,Pacific saury,Scomberesocidae,Beloniformes,forage fish,Forage Fish,0,Pacific saury Northwest Pacific
SBARSHARATL,Sandbar shark Atlantic,527000.0,0.0412,309000.0,12.957749311738274,2015,160289,Carcharhinus plumbeus,Sandbar shark,Carcharhinidae,Carcharhiniformes,elasmobranchs,Sharks Rays and Skates,0,Sandbar shark Atlantic
SBREAMCH,Deepwater cardinalfish Chile,607.0,12.2,2600.0,0.0,2011,168307,Epigonus crassicaudus,Deepwater cardinalfish,Epigonidae,Perciformes,other marine percoidids,Other Marine,1,Deepwater cardinalfish Chile
