cell,T,sigma,rep,module,retained
D6_timevarying_r,33,11.8,61,M1_autonomous_Schaefer,True
D6_timevarying_r,33,11.8,61,M1b_autonomous_Allee,False
D6_timevarying_r,33,11.8,61,M2_stockflow_regimeC,False
D6_timevarying_r,33,11.8,61,M3_AR_residual,False
D6_timevarying_r,33,11.8,61,M4_delayed_info,False
D6_timevarying_r,33,11.8,62,M1_autonomous_Schaefer,True
D6_timevarying_r,33,11.8,62,M1b_autonomous_Allee,False
D6_timevarying_r,33,11.8,62,M2_stockflow_regimeC,False
D6_timevarying_r,33,11.8,62,M3_AR_residual,False
D6_timevarying_r,33,11.8,62,M4_delayed_info,False
D6_timevarying_r,33,11.8,63,M1_autonomous_Schaefer,False
D6_timevarying_r,33,11.8,63,M1b_autonomous_Allee,False
D6_timevarying_r,33,11.8,63,M2_stockflow_regimeC,False
D6_timevarying_r,33,11.8,63,M3_AR_residual,False
D6_timevarying_r,33,11.8,63,M4_delayed_info,False
D6_timevarying_r,33,11.8,64,M1_autonomous_Schaefer,True
D6_timevarying_r,33,11.8,64,M1b_autonomous_Allee,False
D6_timevarying_r,33,11.8,64,M2_stockflow_regimeC,False
D6_timevarying_r,33,11.8,64,M3_AR_residual,False
D6_timevarying_r,33,11.8,64,M4_delayed_info,False
D6_timevarying_r,33,11.8,65,M1_autonomous_Schaefer,True
D6_timevarying_r,33,11.8,65,M1b_autonomous_Allee,False
D6_timevarying_r,33,11.8,65,M2_stockflow_regimeC,False
D6_timevarying_r,33,11.8,65,M3_AR_residual,False
D6_timevarying_r,33,11.8,65,M4_delayed_info,False
D6_timevarying_r,33,11.8,66,M1_autonomous_Schaefer,False
D6_timevarying_r,33,11.8,66,M1b_autonomous_Allee,False
D6_timevarying_r,33,11.8,66,M2_stockflow_regimeC,False
D6_timevarying_r,33,11.8,66,M3_AR_residual,False
D6_timevarying_r,33,11.8,66,M4_delayed_info,False
D6_timevarying_r,33,11.8,67,M1_autonomous_Schaefer,True
D6_timevarying_r,33,11.8,67,M1b_autonomous_Allee,False
D6_timevarying_r,33,11.8,67,M2_stockflow_regimeC,False
D6_timevarying_r,33,11.8,67,M3_AR_residual,False
D6_timevarying_r,33,11.8,67,M4_delayed_info,False
D6_timevarying_r,33,11.8,68,M1_autonomous_Schaefer,True
D6_timevarying_r,33,11.8,68,M1b_autonomous_Allee,True
D6_timevarying_r,33,11.8,68,M2_stockflow_regimeC,False
D6_timevarying_r,33,11.8,68,M3_AR_residual,False
D6_timevarying_r,33,11.8,68,M4_delayed_info,False
D6_timevarying_r,33,11.8,69,M1_autonomous_Schaefer,False
D6_timevarying_r,33,11.8,69,M1b_autonomous_Allee,False
D6_timevarying_r,33,11.8,69,M2_stockflow_regimeC,False
D6_timevarying_r,33,11.8,69,M3_AR_residual,False
D6_timevarying_r,33,11.8,69,M4_delayed_info,False
D6_timevarying_r,33,11.8,70,M1_autonomous_Schaefer,True
D6_timevarying_r,33,11.8,70,M1b_autonomous_Allee,False
D6_timevarying_r,33,11.8,70,M2_stockflow_regimeC,False
D6_timevarying_r,33,11.8,70,M3_AR_residual,False
D6_timevarying_r,33,11.8,70,M4_delayed_info,False
D6_timevarying_r,33,11.8,71,M1_autonomous_Schaefer,True
D6_timevarying_r,33,11.8,71,M1b_autonomous_Allee,False
D6_timevarying_r,33,11.8,71,M2_stockflow_regimeC,False
D6_timevarying_r,33,11.8,71,M3_AR_residual,False
D6_timevarying_r,33,11.8,71,M4_delayed_info,False
D6_timevarying_r,33,11.8,72,M1_autonomous_Schaefer,False
D6_timevarying_r,33,11.8,72,M1b_autonomous_Allee,False
D6_timevarying_r,33,11.8,72,M2_stockflow_regimeC,False
D6_timevarying_r,33,11.8,72,M3_AR_residual,False
D6_timevarying_r,33,11.8,72,M4_delayed_info,False
D6_timevarying_r,33,11.8,73,M1_autonomous_Schaefer,True
D6_timevarying_r,33,11.8,73,M1b_autonomous_Allee,False
D6_timevarying_r,33,11.8,73,M2_stockflow_regimeC,False
D6_timevarying_r,33,11.8,73,M3_AR_residual,False
D6_timevarying_r,33,11.8,73,M4_delayed_info,False
D6_timevarying_r,33,11.8,74,M1_autonomous_Schaefer,False
D6_timevarying_r,33,11.8,74,M1b_autonomous_Allee,False
D6_timevarying_r,33,11.8,74,M2_stockflow_regimeC,False
D6_timevarying_r,33,11.8,74,M3_AR_residual,False
D6_timevarying_r,33,11.8,74,M4_delayed_info,False
D6_timevarying_r,33,11.8,75,M1_autonomous_Schaefer,True
D6_timevarying_r,33,11.8,75,M1b_autonomous_Allee,False
D6_timevarying_r,33,11.8,75,M2_stockflow_regimeC,False
D6_timevarying_r,33,11.8,75,M3_AR_residual,False
D6_timevarying_r,33,11.8,75,M4_delayed_info,False
D6_timevarying_r,33,11.8,76,M1_autonomous_Schaefer,True
D6_timevarying_r,33,11.8,76,M1b_autonomous_Allee,False
D6_timevarying_r,33,11.8,76,M2_stockflow_regimeC,False
D6_timevarying_r,33,11.8,76,M3_AR_residual,False
D6_timevarying_r,33,11.8,76,M4_delayed_info,False
D6_timevarying_r,33,11.8,77,M1_autonomous_Schaefer,False
D6_timevarying_r,33,11.8,77,M1b_autonomous_Allee,False
D6_timevarying_r,33,11.8,77,M2_stockflow_regimeC,False
D6_timevarying_r,33,11.8,77,M3_AR_residual,False
D6_timevarying_r,33,11.8,77,M4_delayed_info,False
D6_timevarying_r,33,11.8,78,M1_autonomous_Schaefer,True
D6_timevarying_r,33,11.8,78,M1b_autonomous_Allee,False
D6_timevarying_r,33,11.8,78,M2_stockflow_regimeC,False
D6_timevarying_r,33,11.8,78,M3_AR_residual,False
D6_timevarying_r,33,11.8,78,M4_delayed_info,False
D6_timevarying_r,33,11.8,79,M1_autonomous_Schaefer,False
D6_timevarying_r,33,11.8,79,M1b_autonomous_Allee,True
D6_timevarying_r,33,11.8,79,M2_stockflow_regimeC,False
D6_timevarying_r,33,11.8,79,M3_AR_residual,False
D6_timevarying_r,33,11.8,79,M4_delayed_info,False
D6_timevarying_r,33,11.8,80,M1_autonomous_Schaefer,False
D6_timevarying_r,33,11.8,80,M1b_autonomous_Allee,False
D6_timevarying_r,33,11.8,80,M2_stockflow_regimeC,False
D6_timevarying_r,33,11.8,80,M3_AR_residual,False
D6_timevarying_r,33,11.8,80,M4_delayed_info,False
D6_timevarying_r,33,11.8,81,M1_autonomous_Schaefer,True
D6_timevarying_r,33,11.8,81,M1b_autonomous_Allee,False
D6_timevarying_r,33,11.8,81,M2_stockflow_regimeC,False
D6_timevarying_r,33,11.8,81,M3_AR_residual,False
D6_timevarying_r,33,11.8,81,M4_delayed_info,False
D6_timevarying_r,33,11.8,82,M1_autonomous_Schaefer,True
D6_timevarying_r,33,11.8,82,M1b_autonomous_Allee,False
D6_timevarying_r,33,11.8,82,M2_stockflow_regimeC,False
D6_timevarying_r,33,11.8,82,M3_AR_residual,False
D6_timevarying_r,33,11.8,82,M4_delayed_info,False
D6_timevarying_r,33,11.8,83,M1_autonomous_Schaefer,True
D6_timevarying_r,33,11.8,83,M1b_autonomous_Allee,False
D6_timevarying_r,33,11.8,83,M2_stockflow_regimeC,False
D6_timevarying_r,33,11.8,83,M3_AR_residual,False
D6_timevarying_r,33,11.8,83,M4_delayed_info,False
D6_timevarying_r,33,11.8,84,M1_autonomous_Schaefer,False
D6_timevarying_r,33,11.8,84,M1b_autonomous_Allee,False
D6_timevarying_r,33,11.8,84,M2_stockflow_regimeC,False
D6_timevarying_r,33,11.8,84,M3_AR_residual,False
D6_timevarying_r,33,11.8,84,M4_delayed_info,False
D6_timevarying_r,33,11.8,85,M1_autonomous_Schaefer,True
D6_timevarying_r,33,11.8,85,M1b_autonomous_Allee,False
D6_timevarying_r,33,11.8,85,M2_stockflow_regimeC,False
D6_timevarying_r,33,11.8,85,M3_AR_residual,False
D6_timevarying_r,33,11.8,85,M4_delayed_info,False
D6_timevarying_r,33,11.8,86,M1_autonomous_Schaefer,True
D6_timevarying_r,33,11.8,86,M1b_autonomous_Allee,False
D6_timevarying_r,33,11.8,86,M2_stockflow_regimeC,False
D6_timevarying_r,33,11.8,86,M3_AR_residual,False
D6_timevarying_r,33,11.8,86,M4_delayed_info,False
D6_timevarying_r,33,11.8,87,M1_autonomous_Schaefer,True
D6_timevarying_r,33,11.8,87,M1b_autonomous_Allee,False
D6_timevarying_r,33,11.8,87,M2_stockflow_regimeC,False
D6_timevarying_r,33,11.8,87,M3_AR_residual,False
D6_timevarying_r,33,11.8,87,M4_delayed_info,False
