catch,origin,horizon,model,obs,pred,below_lrp_obs,below_lrp_pred,sqerr,abserr,log_sqerr
annual,1999,1,M2_stockflow_regimeC,41.225409228030266,56.412204254295844,1,1,230.6387431698049,15.186795026265578,0.0983642332265577
annual,1999,5,M2_stockflow_regimeC,35.68079125661441,450.3660335453278,1,1,171963.85017204896,414.6852422887134,6.428497453513529
annual,1999,1,M3_AR_residual,41.225409228030266,54.07613335534315,1,1,165.14111059630156,12.850724127312887,0.07362438376557111
annual,1999,5,M3_AR_residual,35.68079125661441,435.35367837267574,1,1,159738.41669568792,399.67288711606136,6.257733743599073
annual,1999,1,M4_delayed_info,41.225409228030266,28.493923178642774,1,1,162.09073702574833,12.731486049387492,0.1364297292989354
annual,1999,5,M4_delayed_info,35.68079125661441,224.5428370599484,1,1,35668.87234502062,188.86204580333398,3.3835910769679836
annual,2000,1,M1_autonomous_Schaefer,36.0890539538104,0.001,1,1,1302.3476381731305,36.0880539538104,110.11868168557032
annual,2000,5,M1_autonomous_Schaefer,34.857993669947085,0.001,1,1,1215.0100077067314,34.85699366994709,109.39147093803035
annual,2000,1,M1b_autonomous_Allee,36.0890539538104,0.001,1,1,1302.3476381731305,36.0880539538104,110.11868168557032
annual,2000,5,M1b_autonomous_Allee,34.857993669947085,0.001,1,1,1215.0100077067314,34.85699366994709,109.39147093803035
annual,2000,1,M2_stockflow_regimeC,36.0890539538104,66.5605051428698,1,1,928.5093375672296,30.4714511890594,0.37469307475740843
annual,2000,5,M2_stockflow_regimeC,34.857993669947085,538.4821636874781,1,1,253637.304625847,503.624170017531,7.493752344868155
annual,2000,1,M3_AR_residual,36.0890539538104,69.48106590579192,1,1,1115.026462201277,33.39201195198152,0.4291097319175809
annual,2000,5,M3_AR_residual,34.857993669947085,555.2569543414559,1,1,270815.07826798654,520.3989606715088,7.662646134081216
annual,2000,1,M4_delayed_info,36.0890539538104,97.51441010463294,1,1,3773.074378255393,61.425356150822545,0.9880569899003459
annual,2000,5,M4_delayed_info,34.857993669947085,721.4829363987304,1,1,471453.81197730504,686.6249427287834,9.181059034815133
annual,2001,1,M1_autonomous_Schaefer,35.563900400573665,0.001,1,1,1264.7198849011227,35.56290040057367,109.81125112201138
annual,2001,5,M1_autonomous_Schaefer,47.17543890015331,0.001,1,1,2225.427685544298,47.17443890015331,115.81265171390196
annual,2001,1,M1b_autonomous_Allee,35.563900400573665,0.001,1,1,1264.7198849011227,35.56290040057367,109.81125112201138
annual,2001,5,M1b_autonomous_Allee,47.17543890015331,0.001,1,1,2225.427685544298,47.17443890015331,115.81265171390196
annual,2001,1,M2_stockflow_regimeC,35.563900400573665,60.16216782546534,1,1,605.0747603064868,24.598267424891674,0.27637376265339103
annual,2001,5,M2_stockflow_regimeC,47.17543890015331,504.8891921135841,1,1,209501.8798807254,457.7137532134308,5.619107107545009
annual,2001,1,M3_AR_residual,35.563900400573665,67.90999604037779,1,1,1046.2699031393554,32.346095639804126,0.418417705424805
annual,2001,5,M3_AR_residual,47.17543890015331,550.136149475625,1,1,252969.47638258335,502.96071057547164,6.033372340652494
annual,2001,1,M4_delayed_info,35.563900400573665,124.78507544317193,1,1,7960.418075981961,89.22117504259828,1.5756821144942414
annual,2001,5,M4_delayed_info,47.17543890015331,855.7752165499988,1,1,653833.6004153797,808.5997776498456,8.399182706577944
annual,2002,1,M1_autonomous_Schaefer,24.439312101280848,0.001,1,1,597.2310983596099,24.438312101280847,102.08977057131303
annual,2002,5,M1_autonomous_Schaefer,73.00090549428812,0.001,1,1,5328.986202174996,72.99990549428811,125.40029072259172
annual,2002,1,M1b_autonomous_Allee,24.439312101280848,0.001,1,1,597.2310983596099,24.438312101280847,102.08977057131303
annual,2002,5,M1b_autonomous_Allee,73.00090549428812,0.001,1,1,5328.986202174996,72.99990549428811,125.40029072259172
annual,2002,1,M2_stockflow_regimeC,24.439312101280848,62.45416777562711,1,1,1445.1292519413764,38.014855674346265,0.8802942688269686
annual,2002,5,M2_stockflow_regimeC,73.00090549428812,516.9636294749521,1,1,197102.9002843312,443.96272398066395,3.8318089034033047
annual,2002,1,M3_AR_residual,24.439312101280848,67.75193105705202,1,1,1875.9829608078282,43.31261895577117,1.0397064637242384
annual,2002,5,M3_AR_residual,73.00090549428812,547.6102878313646,1,1,225254.0658023813,474.6093823370765,4.060595910580958
annual,2002,1,M4_delayed_info,24.439312101280848,113.34715574398118,1,1,7904.6046611948495,88.90784364270033,2.3539607943806584
annual,2002,5,M4_delayed_info,73.00090549428812,801.838779937441,1,1,531204.6472228132,728.8378744431529,5.742904160255258
annual,2003,1,M1_autonomous_Schaefer,35.68079125661441,0.001,1,1,1273.0475041155785,35.679791256614415,109.88003391716043
annual,2003,5,M1_autonomous_Schaefer,80.56745017556007,0.001,1,1,6490.9528938910025,80.56645017556006,127.61881998919883
annual,2003,1,M1b_autonomous_Allee,35.68079125661441,0.001,1,1,1273.0475041155785,35.679791256614415,109.88003391716043
annual,2003,5,M1b_autonomous_Allee,80.56745017556007,0.001,1,1,6490.9528938910025,80.56645017556006,127.61881998919883
annual,2003,1,M2_stockflow_regimeC,35.68079125661441,43.06514219710629,1,1,54.52863881234328,7.384350940491878,0.035382144286271414
annual,2003,5,M2_stockflow_regimeC,80.56745017556007,368.5079521294305,1,1,82909.73266544688,287.94050195387047,2.311517539252786
annual,2003,1,M3_AR_residual,35.68079125661441,51.49387177369783,1,1,250.05351543976326,15.81308051708342,0.13457915872453935
annual,2003,5,M3_AR_residual,80.56745017556007,424.4653145632188,1,1,118265.74113039252,343.89786438765873,2.761365103016322
annual,2003,1,M4_delayed_info,35.68079125661441,122.15524651448858,1,1,7477.831412146082,86.47445525787417,1.5145739128116005
