origin,horizon,model,target,obs,pred,sqerr,abserr
1958,5,M2_Rar,H,651.8947323943662,710.0,3376.2221235223165,58.1052676056338
1958,5,M2_enso,H,651.8947323943662,672.5978258553849,428.61807885567686,20.70309346101874
1958,5,M2_precip,H,651.8947323943662,682.4512900635808,933.7032165920383,30.556557669214612
1958,5,M2_combo,H,651.8947323943662,710.0,3376.2221235223165,58.1052676056338
1958,5,M2_precip_oracle,H,651.8947323943662,664.7902510423064,166.29440119937362,12.895518647940207
1959,1,M2_Rar,R,824.8,582.6713148207896,58626.300186613174,242.12868517921038
1959,1,M2_enso,R,824.8,534.8951025878832,84044.84954352993,289.9048974121167
1959,1,M2_precip,R,824.8,611.1828520305319,45632.28590660962,213.61714796946808
1959,1,M2_combo,R,824.8,586.2201503960812,56920.3446370285,238.57984960391877
1959,1,M2_precip_oracle,R,824.8,757.6879953665157,4504.021165924815,67.11200463348428
1959,1,R_persist,R,824.8,690.4,18063.359999999993,134.39999999999998
1959,1,R_mean,R,824.8,501.8923076923077,104269.37775147925,322.90769230769223
1959,1,naive_persist,H,671.7045205479452,672.0067857142857,0.09136423078283554,0.30226516634047584
1959,1,M1,H,671.7045205479452,670.7073657458988,0.9943176992442998,0.9971548020464525
1959,1,M2_Rar,H,671.7045205479452,674.4278533614295,7.416541613000107,2.7233328134842623
1959,1,M2_enso,H,671.7045205479452,673.453924628812,3.060414638153549,1.7494040808668387
1959,1,M2_precip,H,671.7045205479452,675.0090674008409,10.92002990298267,3.304546852895669
1959,1,M2_combo,H,671.7045205479452,674.5001971654394,7.815807749603941,2.795676617494223
