origin,horizon,model,obs,pred,below_660_obs,below_660_pred,sqerr,abserr
1975,5,M3,663.3322857142857,680.5911416071667,0,0,297.8681067312333,17.258855892881
1975,5,M4,663.3322857142857,680.5073428392733,0,0,294.98258724658643,17.175057124987575
1975,5,M2_oracle,663.3322857142857,656.3590150824817,0,1,48.626503304379945,6.9732706318039845
1976,1,naive_persist,686.50591160221,678.1262191780822,0,0,70.21924512298335,8.379692424127711
1976,1,naive_mean,686.50591160221,663.3835619390455,0,0,534.6430539456395,23.122349663164414
1976,1,M1,686.50591160221,675.2363331525447,0,0,127.00339843315902,11.269578449665232
1976,1,M2,686.50591160221,676.7032639374638,0,0,96.0919012391528,9.802647664746132
1976,1,M2m,686.50591160221,674.4666841885327,0,0,144.94299671823856,12.039227413677281
1976,1,M3,686.50591160221,676.5062265374611,0,0,99.9937013941614,9.99968506474886
1976,1,M4,686.50591160221,676.2414242661024,0,0,105.35970027311227,10.26448733610755
1976,1,M2_oracle,686.50591160221,676.8567108805529,0,0,93.107074566827,9.649200721657053
1976,5,naive_persist,674.4084806629834,678.1262191780822,0,0,13.821579666649464,3.7177385150988584
1976,5,naive_mean,674.4084806629834,663.3835619390455,0,0,121.54883286943526,11.024918723937844
1976,5,M1,674.4084806629834,668.4804082598223,0,0,35.14204241712,5.928072403161082
1976,5,M2,674.4084806629834,673.7718218538141,0,0,0.40533443929282276,0.636658809169262
1976,5,M2m,674.4084806629834,666.9276453145538,0,0,55.96289751031287,7.480835348429537
1976,5,M3,674.4084806629834,673.7287007527068,0,0,0.46210072641563427,0.6797799102765794
1976,5,M4,674.4084806629834,673.6169307480465,0,0,0.6265512678366493,0.7915499149369225
1976,5,M2_oracle,674.4084806629834,670.3345791497259,0,0,16.596673539721834,4.0739015132575105
1977,1,naive_persist,673.2055807365439,686.50591160221,0,0,176.89880113618952,13.30033086566607
1977,1,naive_mean,673.2055807365439,663.9090698859357,0,0,86.42511399547654,9.296510850608229
1977,1,M1,673.2055807365439,682.588014001646,0,0,88.03005397409487,9.382433265102122
1977,1,M2,673.2055807365439,684.7675236891502,0,0,133.67852483932185,11.561942952606273
1977,1,M2m,673.2055807365439,681.512873609534,0,0,69.01111487763312,8.30729287299016
1977,1,M3,673.2055807365439,681.3193086086319,0,0,65.832579982298,8.11372787208802
1977,1,M4,673.2055807365439,677.2042076269306,0,0,15.98901700852386,3.9986268903867312
1977,1,M2_oracle,673.2055807365439,674.4729411477822,0,0,1.6062024119741498,1.2673604112383146
1977,5,naive_persist,665.4723287671233,686.50591160221,0,0,442.41160688045346,21.03358283508669
1977,5,naive_mean,665.4723287671233,663.9090698859357,0,0,2.4437783296119306,1.5632588811876076
1977,5,M1,665.4723287671233,672.9599366781368,0,0,56.0642722290732,7.487607911013583
1977,5,M2,665.4723287671233,680.9645822520115,0,0,240.00991804003175,15.492253484888238
1977,5,M2m,665.4723287671233,670.5899772082741,0,0,26.190325567214142,5.117648441150891
1977,5,M3,665.4723287671233,680.1303649810571,0,0,214.85802564899717,14.658036213933883
1977,5,M4,665.4723287671233,678.1024598651537,0,0,159.52021155343613,12.63013109803046
1977,5,M2_oracle,665.4723287671233,665.5239421341686,0,0,0.0026639396577549292,0.05161336704532005
1978,1,naive_persist,682.3877534246575,673.2055807365439,0,0,84.31229527433952,9.18217268811361
1978,1,naive_mean,682.3877534246575,664.1156590159492,0,0,333.86943408074956,18.272094408708313
1978,1,M1,682.3877534246575,671.3412785148068,0,0,122.0246079339598,11.046474909850645
